Order	Family	Regalado	Load	Roger	NA	alpha1	alpha2	PseudoSphingo	Load2
Bacteria	Dermabacteraceae	#DECBE4	#000000	#DECBE4	#000000	0.3	1	#000000	#000000
Bacteria	Thermoanaerobacteraceae	#FED9A6	#000000	#FED9A6	#000000	0.3	1	#000000	#000000
Bacteria	Bifidobacteriaceae	#FFFFCC	#000000	#FFFFCC	#000000	0.3	1	#000000	#000000
Bacteria	Brevibacteriaceae	#E5D8BD	#000000	#E5D8BD	#000000	0.3	1	#000000	#000000
Bacteria	Cryomorphaceae	#FDDAEC	#000000	#FDDAEC	#000000	0.3	1	#000000	#000000
Bacteria	Acidaminococcaceae	#F2F2F2	#000000	#F2F2F2	#000000	0.3	1	#000000	#000000
Bacteria	Mycoplasmataceae	#B3E2CD	#000000	#B3E2CD	#000000	0.3	1	#000000	#000000
Bacteria	Coriobacteriaceae	#FDCDAC	#000000	#FDCDAC	#000000	0.3	1	#000000	#000000
Bacteria	Hydrogenophilaceae	#CBD5E8	#000000	#CBD5E8	#000000	0.3	1	#000000	#000000
Bacteria	sum_unique_metareads_B	#000000	#000000	#000000	#000000	0.3	1	#000000	#000000
General	remaining_Pseudomonadaceae	#3182BD	#000000	#FFFB00	#000000	0.3	1	#000000	#000000
General	mystery	#FF4BF1	#FF4BF1	#FF4BF1	#000000	0.3	1	#000000	#FF4BF1
General	other	#DEB0FF	#DEB0FF	#DEB0FF	#000000	0.3	1	#000000	#DEB0FF
General	allfungi	#FDFFD8	#FDFFD8	#FDFFD8	#000000	0.3	1	#000000	#FDFFD8
General	empty	#FFFFFF	#FFFFFF	#FFFFFF	#000000	0.3	1	#000000	#FFFFFF
General	plant	#8fbc8f	#8fbc8f	#8fbc8f	#000000	0.3	1	#000000	#6ABD45
General	meta_only	#c6c6c6	#000000	#c6c6c6	#000000	0.3	1	#000000	#000000
General	otu_only	#c6c6c6	#000000	#c6c6c6	#000000	0.3	1	#000000	#000000
General	low_abundance	#efefef	#000000	#efefef	#000000	1	1	#000000	#A1C6D2
General	sum_unique_metareads_B	#000000	#000000	#000000	#000000	1	1	#000000	#000000
General	sum_unique_metareads_F	#000000	#000000	#000000	#000000	1	1	#000000	#000000
General	sum_unique_otus	#666666	#000000	#666666	#000000	1	1	#000000	#000000
General	sum_unique_ITS	#666666	#000000	#666666	#000000	1	1	#000000	#000000
General	sum_unique_metareads_B_cyanos	#408000	#000000	#408000	#000000	1	1	#000000	#000000
General	sum_all_metareads_B	#11e7ff	#000000	#11e7ff	#000000	1	1	#000000	#000000
General	sum_all_metareads_F	#ffffff	#000000	#ffffff	#000000	1	1	#000000	#000000
General	negative_blank_space	#ffffff	#000000	#ffffff	#000000	1	1	#000000	#000000
General	positive_blank_space	#ffffff	#000000	#ffffff	#000000	1	1	#000000	#000000
General	Otu2185	#52250D	#000000	#000000	f:Enterobacteriaceae	#000000	#000000	#000000	#939393
General	Otu2	#f922b9	#000000	#000000	f:Enterobacteriaceae	#000000	#000000	#000000	#F4B04D
General	Otu1674	#32fff4	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FFF5F0
General	Otu968	#1F78B4	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FEE0D2
General	Otu396	#FB9A99	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FCBBA1
General	Otu1830	#FDBF6F	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FC9272
General	Otu3930	#E31A1C	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FB6A4A
General	Otu280	#6A3D9A	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#EF3B2C
General	Otu244	#CAB2D6	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#CB181D
General	Otu378	#FF7F00	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#99000D
General	Otu223	#FFFF99	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FFF5F0
General	Otu213	#B6FF00	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FEE0D2
General	Otu199	#B3B3B3	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FCBBA1
General	Otu198	#8DD3C7	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FC9272
General	Otu184	#f922b9	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FB6A4A
General	Otu171	#32fff4	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#EF3B2C
General	Otu141	#1F78B4	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#CB181D
General	Otu2404	#FB9A99	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#99000D
General	Otu101	#FDBF6F	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FFF5F0
General	Otu96	#E31A1C	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FEE0D2
General	Otu170	#6A3D9A	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FCBBA1
General	Otu2130	#CAB2D6	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FC9272
General	Otu63	#FF7F00	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#FB6A4A
General	Otu25	#FFFF99	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#EF3B2C
General	Otu14	#A6CEE3	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#CB181D
General	Otu18	#7FC97F	#000000	#000000	f:Sphingomonadaceae	#000000	#000000	#000000	#99000D
